response_index,response
1799,Yes the wifi is super fast. It is also free and will take care of all your needs. You can trust and be confident that the wifi will help get any job done.
1800,"Some customers stated that the rooms are large and comfortable, but others stated they are small and would not be a good fit if you had more a large party."
1802,"I'm not finding any information pertaining to safety, but views differ on the location in general. Some found it convenient but others found it hard to get to."
1803,"No, they are not. The bathrooms at the Gonville Hotel have been highly rated for their cleanliness."
1805,The Slug and Lettuce restaurant features a quality wait staff that is friendly and quick to provide service.
1806,"Yes, there's a varied selection of non-alcoholic drinks available at Pizza Hut. Can I answer anything else about the restaurant?"
1807,"Yes the staff there are very friendly, polite, and professional. Are you interested in making a reservation there?"
1808,"The reviews on the staff at the Alexander Bed and Breakfast are universally positive, claiming they are friendly and a joy to interact with."
1809,Some past guests say that the room was small and cramped while one past guest said that the room was a large size.
1810,"Unfortunately, while the Charlie Chan restaurant is recommended overall, it's not because of their poor ambiance."
1811,Customers who have visited COTE for a meal have said that the view was their favorite part of their experience dining.
1812,Rosa's Bed and Breakfast has good prices that are a great value for the money. Would you like any more information?
1813,"Yes, there is free wifi available though unfortunately, several guests say there were problems with the wifi."
1814,The view is nice and also enjoyable at the patio and the staff are also nice and  a bit from the bill being highh everything seems to be okay.
1816,"People differ in their opinions about the portions. Some people felt that you get a lot of food, but others felt he portions were small."
1818,"Yes, the Cow Pizza Kitchen and Bar is considered to have favorable interior decor. Customers tend to be impressed by the clean, fresh decor which has been labeled as interesting."
1819,"Yes, at the Hamilton Lodge, you can have rooms that are quiet and also clean, for maximum comfort during your stay."
1821,The atmosphere is swanky and has a lot of beautiful views of the countryside from the top level which make it a nice place for a romantic dinner. Does that sound like something you would be interested in?
1822,"Guests of The El Shaddai have stated that it is quiet, but most guests say that it is not quiet, and that is actually noisy."
1825,"There is a comment about a nice view, but there are past guests who felt that the view was lackluster."
1829,"The Allenbell serves breakfast options including  fruit juices, toast and choice of preserves, choice of breakfast cereals, Continental, or Full English. Guests were generally satisfied although one complained about small portion sizes."
1831,"Yes, guests view the Acorn Guest House as being a good value for the money. They feel it is worth it."
1835,Yes they are.  According to previous guests the rooms are very clean and even referred to them as spotless.
1839,"Yes, the guests have given the Acorn rave reviews on their immaculate rooms/bathrooms. One guest did have a problem with their room but it was taken care of immediately. Is there anything else you'd like to know?"
1840,"Some would consider the portions are the Gardenia to be small in comparison to their competitors, but the rest were satisfied."
1843,"Past guests have mixed feelings about the location. Some describe it as convenient, but many others found it mediocre."
1845,"Half of the reviewers found it quiet, but the other half thought it was noisy. Would you like me to book this for you?"
1846,The Lovell Lodge provides guests with very open rooms with a lot of space to relax although some guests have observed they could use more space.
1849,"It doesn't appear so, while there were a couple positive reviews, the vast majority were very negative and said the staff did not treat them well."
1851,I don't have any information on Avalon and the A and B Guesthouse has mixed reviews. Some guests have really enjoyed the staff with one clerk making a hand drawn card for a guest's anniversary. There were others who were not treated professionally at all. Would you like to know more about either of them?
1854,Everyone that has stayed at the A and B Guest House regarded the beds as comfortable and providing of a good night's sleep.
1857,"The University Arms Hotel has two reviews that speak negatively about the staff, they are rude and disrespectful apparently. One person did say they were polite and friendly, though."
1858,"According to the reviews I have on hand for that location, the opinions are mixed.  One third found the rooms large, while two thirds found them tiny and a nightmare for multiple people."
1860,"The people give good ratings for the service there.  It is described as stellar, quick, responsive, and attentive.  Would you like me to book you a table?"
1861,"University Arms Hotel is known to be a good value for the money, although some guests felt it was overpriced. What is your budget?"
1864,"Some customers of the expressed by Holiday inn thought it was overpriced, and others have stated that they felt it was expensive."
1867,"Yes, the curry prince has a very nice view according to one customer. What do you like to make a reservation there or can I help you with something else?"
1869,"Yes, The Gandhi does serve alcohol with good reviews. Most customers enjoyed the drinks and the prices while others found the drinks to be average and overpriced. Would you like to know more about them?"
1870,"Yes, Curry Prince gets high marks for their outdoor dining area. Customers have commented on how nice and relaxing it is and has outdoor heaters, if necessary. Would you like to know more about them?"
1871,The Ashley Hotel and the Lovell Lodge both have comfortable beds for sleeping that will make your stay.
1873,"Yes, Ashley Hotel has free Wi-Fi that 2 people said was slow and 1 said was fast. Lovell Lodge has Wi-Fi for 7 GBP a day and 1 person said it was slow."
1875,The Kymmoy has really good food portion sizes that are great for sharing. Would you like to make a reservation?
1877,"Many people seem to feel that the rooms at the Alexander Bed and Breakfast are a bit small, and have referred to them as tiny, but others say they are of a larger size."
1880,"Views about the location are varied. People feel that it is safe, but there are complaints about the proximity to things, such as nightlife."
1881,All of the reviewers had a great experience with the staff there. Is there anything else you need to know?
1887,The majority of guests thought the cost was reasonable and a good value. There were also guests who felt the price was high for what it offered. Would you like to know more about the Allenbell or have me look elsewhere?
1889,The Alexander Bed and Breakfast offers free Wi-Fi internet for its guests. Two guests noted that it was fast and stable enough to stream shows in their rooms.
1892,"No, Hamilton Lodge offers free wi-fi to their guests during their stay. Is there anything else I can help you with?"
1893,"One person thought that the bathrooms were very clean. Another person had an issue with the cleanliness of the bathroom, but it was cleaned up quickly."
1894,"Everyone raves about the view from Royal Spice saying the sights are something to behold, especially at night."
1895,Some past patrons at the HK Fusion found the service courteous and helpful but more patrons found the service sub-par but not terrible.  Would you like to book a table?
1896,"The wait staff at Bangkok City is known to be top notch, attentive, and courteous, although newer servers may need additional training."
1898,Most of the guests think they got a good value for their money. There are guests who thought it was a little overpriced for what they got. Would you like to know more about them or have me check out other places?
1902,Patrons say that Wifi at the Hobsons House is free but slow.  Is there anything else I can help you with?
1903,"A few customers have said that the price didn’t break the bank and they were surprised it was not more expensive. There were others that felt differently, saying that the price was pretty steep even with its central location."
1905,"While the Allenbell is located close to the city center and public transportation, a few guests still considered it to be mediocre in terms of location."
1906,"According to many past reviews of guests at A and B Guest House, the beds were comfortable and gave them a good night's sleep."
1910,"Nandos is tucked behind a big warehouse, so while it doesn't have a view of the city, some say it still does make a perfect setting for romance."
1911,"Some of the past guests say that the portions were too small, leaving them hungry, while others were satisfied with the portions."
1912,Customers have commented in their reviews how good the service is at The Gardenia.  It has even been called excellent and friendly.
1924,"Yes, guests have been impressed by the big rooms at Allenbell. Would you like me to book it for you?"
1925,"I'm not sure because the reviews are split, half of the people say the portions are good and half say they are small."
1927,"Yes, Anatolia serves alcoholic beverages, but while previous customers found them to be good, they felt the selections were limited. Do you need anything else?"
1928,Curry Prince is known for having a very pleasant atmosphere. Can I answer anything else about this location for you?
1930,"It seems to depend on personal experience. Some people feel the staff was nice and courteous, but others have described them as unprofessional."
1932,"Yes, there do seem to be a lot of breakfast options at Bridge Guest House. Past guests have said the options are abundant."
1935,The Darrys Cookhouse and Wine Shop have decor that is a bit outdated indoors but some aspects are very pleasing to look at.
1936,"Yes, the A and B Guest Hosue does have comfortable beds. Past guests have made comments saying it had a good firmness, and that they were thrilled with the comfyness."
1937,The Gourmet Burger Kitchen is located in a strip mall so the view is rather limited. Would you like me to find another place with a better view?
1943,The La Margherita is rated a little more on the expensive side. Let's find another restaurant that's more reasonably priced.
1944,Yippee Noodle delivers large portion sizes according to previous customers. They give you a lot of food for what you pay for.
1946,"Yes, the Grafton Hotel Restaurant is located in a good part of town and guests have mentioned enjoying their experience."
1947,"While the wireless internet service is free of charge, the Archway House's internet is rather useless as its extremely slow."
1949,"There were multiple comments that the service at Gourmet Burger Kitchen was mediocre, but there was also a comment indicating that the service was great."
1950,"One past guest mentioned that continental, full english/irish, vegetarian and gluten free are offered free of charge."
1952,The Little Seoul restaurant does feature a variety of non-alcoholic beverage on their extensive menu.
1955,The Rice Boat has mixed reviews. One person said the portions were good and another said they could have been bigger.
1956,"Yes, guests at Bridge Guest House have been very satisfied with the cleanliness of the rooms and bathrooms. Do you have any other questions I can answer for you?"
1959,One of the highlights of dining at the Curry King restaurant is a service staff that's quality and attentive to every need.
1960,"Yes, the Cambridge Lodge Restaurant does serve alcoholic drinks. They do have some really mixed reviews, though. Half of the customers think the drinks are really good and affordable while the other half thinks the drinks are not very good and overpriced. Would you like me to find another place with better ratings?"
1961,"When staying at the Aylesbray Lodge Guest House one gambles with the cleanliness, as housekeeping isn't always available."
1962,"Most people do feel that the service is great, but there was a comment that they wish their server had checked on them more."
1964,"At Huntingdon Marriott Hotel, there is Wi-Fi service for guests. Guests are split on whether or not the speed is satisfactory for their needs."
1967,"It depends on where you are sitting, some customers enjoyed the view, but others thought it was boring and that there was no view to speak of."
1969,"Yes, University Arms does offer WiFi. However, there are some complaints that the connection was slow and unresponsive. Would you like to me find another place or would you like to make a reservation here?"
1970,"The Yu Garden atmosphere is outdated and not that great, but one person felt that the food was worth it."
1972,"Yes, according to the past reviews from customers, Maze Bar does have a menu of alcoholic beverages."
1974,"A and B Guest House offers large, spacious rooms for their patrons during their stay.  Can I assist you with anything else?"
1980,"No, the Cote restaurant isn't known for serving large portion sizes as half their patrons regarded their plates as small."
1982,"When staying at the Huntingdon Marriott Hotel, one cannot expect to have a flawless internet connection as theirs can be pretty slow at times."
1984,The Cow Pizza Kitchen and Bar offers a nicely decorated outdoor seating area. What else can I do for you?
1985,"No clue!  However, according to the reviews I have on hand for this location, the rooms are impressively big!  Sound good to you?"
1986,"75 percent of the reviews on the service at the Kirkwood House Hotel are positive, claiming they are friendly and helpful and welcoming, with the only dissenting opinion claiming they were unprofessional."
1992,Most people were not satisfied with the location of the Acorn Guest House as they said it was far from the center but others felt it was good and safe.
1993,Yes the staffs are very welcoming and very friendly to the customers as they are all well trained to handle the guests.
1995,"Hobsons house is known for having extremely comfortable beds, but of course, you will always find one person that isn't pleased with the beds."
1996,"All of the food is quite good, and chaat is featured on the menu. Would you like me to book you a table?"
1998,Some guests complained that the wifi was too slow to connect many devices. But other guests said it was super fast.
1999,"Yes, you can get alcoholic drinks at Curry Garden. Looking at the reviews, most customers felt the drinks are high quality and nicely priced. Some didn't like the limited selection. Would you like to know more about it?"
2000,"Let me check that for you. The Allenbell has impressed guests with the size of their rooms, which are also very clean."
2002,La Mimosa and Shiraz both have many non-alcoholic drinks available. Would you like to book a table at either of those?
2003,"The majority of the customers say they received fantastic, friendly service but there are some comments about the service being poor and slow. Would you like to know more about the Dojo Noodle Bar?"
2004,Guests who stayed at The Allenbell have stated that the bed at the hotel were extremely comfortable.
2005,"Yes, the views at Curry Prince are very nice. Would you like me to check on availability for your desired date?"
2006,Little Seoul restaurant serves alcohol to the guests who come there. Is there any other assistance I can provide you today?
2007,"Yes, Hakka does have a nice outdoor dining area which one customers says was especially lovely on a warm summer night. Is there anything else I can find out for you?"
2011,"The Alpha-Milton guest house is located in a great place, it is within walking distance to lots of attractions and public transportation."
2013,The Taj Tandoori probably has higher prices than what you're looking for. Let me find you a more reasonably priced restaurant.
2021,"Oh, it seems that many guests have not been satisfied with the cleanliness of their rooms. Should I search for another location ?"
2022,"Unfortunately most guests said that the staff were rude, unresponsive, and unfriendly. Only one reviewer said the staff was friendly and offered to help them to room."
2023,"Yes, Pipasha does serve alcohol with most customers saying they had a great selection with affordable prices. However, other customers felt the prices were too high and the quality was lacking. Would you like to know anything else about them?"
2024,"The River Bar Steak House and Grill does serve alcohol, including wines like cabernet sauvignon, as well as beer."
2025,"Two customers said that the portion sizes were small, but three customers said they were large. Therefore I can't be certain."
2028,Almost all guests were disappointed in the lack of value. The room was overpriced with no elevator to get around easy.
2029,Saigon City gets some mixed reviews about their portions. More customers complain about the small portions than do the customers who rave about the generous ones. Would you like me to look into the portion size a little further?
2033,Some reviews stated that the ambiance was truly a European one.  Other reviews left by previous customers stated that the ambiance was dull the room dim abd fake plants dusty.
2034,The Bedouin has some good reviews on their view with customers saying the the view was nice and pleasant. Would you like to know more about it?
2035,The Zizzi Cambridge gets the best reviews of the three by customers who ordered the Arancini. Would you like to know more about them?
2038,"According to past customers, they have praised Allenbell for their large rooms which accommodated an entire family"
2039,A and B Guest House according to past guests do not offer clean bathrooms.  Can I help you with anymore information?
2040,"Stazione Restaurant does have outdoor seating available for diners. During busy times, it may be crowded, so call ahead."
2041,"People are split as to whether the beds at the University Arms Hotel are comfortable. Some people say they slept well on them, and others felt they weren't comfortable enough."
2042,"Yes, those that have dining experience at the Galleria all mention the restaurant having an attentive wait staff."
2043,"No, it appears that they have some serious issues with their service. People said that they were not only rude, but very slow as well."
2045,"According to the reviews I have on hand, the rooms are nice and big.  Does that sounds alright to you?"
2047,The majority of the customers were disappointed in the portion sizes while a few others thought the portions were well-sized. Would you like to try another Chinese restaurant?
2048,"Although most agree on the nice view, some found the atmosphere mediocre while others thought it romantic. Are you interested in booking a table?"
2049,"The rooms at the Autumn House are maintained to a high level of cleanliness, which their guests have enjoyed."
2050,"The Arbury Lodge Guesthouse is in a speedy part of town but the rooms have a great view and although the location is a little far away from the attractions, it is a decent location."
2051,Past guests said that there were several different breakfast options including ones good for kids. The breakfast is not free.
2052,One person says the view is good and another person says there's nothing special about it. Do you want to make a reservation there?
2054,"People have mixed views on the location of Pizza Express. There are comments about enjoying the location, but others that talk about it being mediocre and a little far."
2057,The Arbury Lodge Guesthouse gets some great reviews on their cleanliness. One said the bathroom was sparkling clean. Would you like to know more about them?
2059,"Yes, previous guests say that the breakfast options are good there. Do you want to make a reservation?"
2062,Cambridge Lodge Restaurant serves great non-alcoholic drinks for their guests.  Would you like me to book a table for you?
2063,Yes customers say that the gardenia has a very nice outdoor eating area. Do you want to know anything else?
2064,"According to past guests there is free wifi at Alpha-Milton Guest House. However, one past guest said that it was slow and not good."
2065,"The reviews are mixed. Some people liked their nice, large rooms while others were not happy with their small, cramped rooms. We can certainly ask for a larger room, if you'd like."
2067,Most previous guests were pleased with the helpfulness of the staff. Can I help you with anything else today?
2068,"Most past guests felt that the service was good, even describing them as the friendliest around, but others said they were slow, particularly when they were busy."
2069,"The Hakka is described as super lively, upbeat, and fun while the Hotpot has a warm and welcoming atmosphere. Which one sounds better to you?"
2070,"Yes, all guests that have previously stayed at the University Arms Hotel have been pleased with their breakfast options."
2071,"The Cambridge Belfry has a reputation for being extremely loud. I suggest we look elsewhere, what do you think?"
2072,"The portion sizes at The Gardenia are good according to two reviewers. One said the salads were small, and another said the portions weren't as big as the competition."
2073,"I am not sure if the Alheira they serve is delicious, but customers have said that it is cooked perfectly."
2075,The bed is well made by housekeeping and the mattress itself is very nice according to a past customer.
2076,"Customers of the Kirkwood house have said that the bathrooms were clean, some guests said even super clean."
2077,"Yes, the Cambridge Lodge Restaurant is situated in a location that's lovely and one of the nicer parts of the city."
2078,"So it looks like most customers are divided, some say you pay well over the treatment and amenities you get, others found the Bridge Guest House to be too expensive and lacking."
2079,It is according to some of the reviews left by previous customers the location is great and they loved it.  However other reviews stated that the customers hated the location and its in a congested part of town.
2080,"The Cambridge Chop House is famous for their over-sized portions, you'll have plenty to take home in a doggy bag, if you like. Would you like to reserve a table?"
2083,"I'm not finding information about the selection, but there are comments indicating that the quality of the non-alcoholic drinks is good."
2084,"Yes, at La Tasca, there is outdoor seating and one past customer says that the outdoor dining area was nice."
2085,"The Alexander Bed and Breakfast tends to have good reviews for their value, but one person said the lack of concierge made it feel like it was overpriced."
2087,One guests had to tell management because room was unclean. Another said room was spotless and modern.
2088,The Avalon gets positive reviews for their housekeeping with guests saying the bathrooms were really clean and they were happy about it. Would you like to know more about them or check out a different place?
2089,Most of the reviews I found for the Huntingdon Marriott Hotel say that the rooms were small. I did find one review that said it was large however
2091,The Midsummer House Restaurant offers portions that are large in size. The Bedouin and the Kymmoy have smaller portion size that are affordable.
2095,The Bedouin gets very positive reviews on their atmosphere as very enjoyable. How does that sound to you?
2096,Those that have previously stayed at the Acorn Guest House have mentioned that the internet experience is fast and reliable.
2098,"Yes, La Mimosa serves alcohol. There have been comments on the priciness of the drinks but they do have drink specials if you want to save money. Would you like to know more about them?"
2099,"Yes, they have a great outdoor eating area. Would you like to know any other things about the restaurant today?"
2103,"While the food and drinks at the Saffron Brasserie may be disappointing, their location, however is incredible."
2105,The Shiraz Restaurant gets very high marks for their view which is described as lovely and great view overlooking the town. Would you like me to make a reservation for you?
2107,"Yes, let me check that information for you. Hamilton Lodge was good value for the money spent for two guests. Three were disappointed price-wise."
2108,"According to one past guest who stayed at The Lensfield hotel, the location was good and convenient for them to attend meetings."
2114,The Stazione is a small place and can get a little cramped but people seem to really like it. Does that sound okay to you?
2117,The restaurant has the best atmosphere due to its almost perfect location near the pine trees on the other side of the town.
2118,"By most customers experiences, the service quality at the Slug and Lettuce can be seen as fast, friendly, and welcoming."
2121,"The reviews on the food portions are all over the place. The comments run from ""incredibly small"" to ""just right"" to quite large. One complaint was about a dish that should feed 4-6 people but was only enough to feed two people at best. Would you like me to find another restaurant with better portion reviews?"
2123,"According to the reviews I have on hand for that location, the opnionsa re mixed.  One third found the area a bit hard to get to while two thirds found it easy to get in and out of and in a extremely desirable location."
2124,"The service quality various greatly at the Good Luck Chinese Food Takeaway because at times it's helpful and fast while at others, poor."
2126,"Two customers say that the atmosphere is pretty lame, while one customer says that it has a great atmosphere where they sat. Do you want to explore other locations?"
2127,"People differ in their opinions of the portion sizes at Taj Tandoori. Some felt the portions were good, but others felt they were a bit small."
2128,Most people thought the place was nice and quiet. But only one said that place was a bit noise because of guest.
2130,"Yes, I can. The Archway House offers breakfast with a wide variety of options, and this amenity is included in the fee."
2131,"Yes, The Acorn Guest Houe does have large rooms. A past guet decribed them as being more than large enough for a family."
2132,"Yes, Pizza Hut Cherry Hinton does offer an outdoor dining area, which guests seem to be generally pleased by.,"
2134,"The decor inside Pizza Hut Cherry Hinton has been called wonderful by past customers, so I do not think you will be disappointed"
2135,Saigon City has a great location in the great part of town. There are some who have complained saying the location was mediocre. Do you have any other questions about Saigon City?
2136,"Yes, De Luca Cucina and Bar offers quality food for a decent price, however some customers felt like their vegan options were overpriced."
2138,"Yes, they do serve drinks with alcohol at the Maharajah Tandoori. They do get mixed reviews, though, with some customers thinking the drinks are high-quality and affordable, there are other customers who thought they were just okay. Would you like to know more about them?"
2139,"Opions are divided, it is located in town behind a warehouse so it isn’t that hard to get to, but some customers felt it was not in the best part of town."
2140,Yes they do according to the reviews left by the previous guests.   The internet connection is very fast and stable.
2141,"The Cityroomz hotel is overpriced according to two people, and good value according to two others. Want to book it?"
2145,"Opinions about the non-alcoholic beverages are varied. Some people find them affordable, and plentiful. Others feel the options are limited."
2147,Previous guests have complained that the rooms at Hobsons House are small. Do you have any other questions?
2150,Gourmet Burger Kitchen has a beautiful outdoor dining patio available to take in the view from. May I book you a table?
2151,Yes they offer exceptional speed and is also free. The wifi will take care of any business or casual needs such as internet.
2155,The bathrooms at the hotel have mixed reviews with some people saying it is clean and other saying it was dirty.
2156,The Thanh Binh may or may not have a lot of non-alcoholic drink options. Some people complain that there aren't enough and some say there are plenty.
2157,"Yes, the University Arms Hotel is centrally located. It is said to be easy to find nearby eateries, and is in a generally good location."
2160,"None of the guests mentioned an American breakfast but people were satisfied with the breakfast. Breakfasts that were mentioned were continental, vegetarian, and full English/Irish."
2161,"Yes, guest reviews state the beds are quite comfortable at the Gonville. Can I answer any other questions about the hotel for you?"
2162,"Guests of  the University Arms Hotel stated it was in a great location, and that it was close to eateries."
2165,People that have been there say the decor is really nice.  Do you need to know anything else or do you want to make a reservation ?
2168,"The Bangkok City Restaurant is in a very nice location, one guest described it as perfect. Do you want anymore information?"
2170,The El Shaddai is located in a cozy suburb that people consider to be a great location. It is close to many places.
2171,"Some people say the view at the Bedouin is quite pleasant, but others find it to be rather dim. Do you want to make a reservation?"
2174,"Some guests have said the it is very quiet, but others have said that it is so noisy that they can not even sleep."
2178,"Yes, previous customers were in agreement that Acorn Guest House was a good value for the price paid. Would you like me to book it for you?"
2180,"The Lucky Star is decorated in an appealing, authentic Chinese style which adds to the overall dining experience. Would you like to try to find a time that's available?"
2181,"Yes, the reviews of Saigon City's atmosphere are positive saying the view and the atmosphere are comfortable. Is there anything else you'd like to know about them?"
2182,The City Centre North gets some mixed reviews on the noise levels. Some guests found their stay to be quiet and peaceful while others found the noise outside to be too disruptive to enjoy the stay. Would you like to know more about them?
2184,Travellers Rest receives mixed reviews from past diners about their service. Some thought it was great and other complained that the staff was inattentive at times. Would you still like to keep your reservation?
2190,"The staff has positive reviews for being super friendly, professional, well trained, polite, and helpful. Can I help you book the Gonville Hotel?"
2191,Customers have widely mixed views of the portions sizes served at the Chiquito Restaurant Bar with statements ranging from generous to insufficient amount plated.
2193,"Three customers said that the portion sizes were small, and two customers said they were big. So there really isn't a general consensus."
2195,"I don't know if they are famous, but the Acorn Guest House has welcoming staff. Would you like me to book a room for you?"
2196,"The Ashley Hotel is in a nice, great location that is overall really excellent. Is there anything else you would like information on?"
2197,Reviewers of the Worth House have mostly noted that the staff members are friendly and helpful. Is there any more information I can find for you?
2201,"Yes, there are breakfast options at the Acorn Guest House. The options include continental, vegetarian, and a full English breakfast."
2205,I only have one opinion of a past guest and it says that the location was really great as it was close in distance to many things.
2206,"To customers, the service and wait staff of the Bloomsbury Restaurant is rather mediocre and nothing to rave about."
2208,"According to past guests of Acorn Guest House, the food was a good value and was worth it for the price that was paid."
2211,Guests that select to dine at the Don Pasquale Pizzeria are provided the option of dining outdoors is desired.
2212,One review said that the internet was fast and had a strong connection. Is there anything else you need to know about the guest house?
2218,Some of the past guests think that it was a good price for what was gotten but others think it was overpriced.
2220,Those that have previously stayed at the Alexander Bed and Breakfast appreciated the speed and reliability of the internet connection.
2221,"Yes, they do offer alcoholic beverages. There are some customers who felt the drinks expensive while others thought the drinks were nicely-sized and affordable. Is there anything else you'd like to know about them?"
2222,Let me check that for you. la raza has Spanish music playing with staff who wear authentic costumes. It may be somewhat noisy during peak hours.
2227,"It depends on what you want to do. Many guests found the location to be perfect and they could walk to attractions and public transportation. But, the location was too out of the way for some who wanted to do things farther away. Would you like to know more about them?"
2230,"The Archway House gets mixed reviews for their WiFi. There are some complaints that it's too slow. It is, however, free for guests. Is there anything else you'd like to know anything else about them?"
2232,The Acorn Guest House offers pricing that is totally worth it and is a good value for money overall.
2233,"Looking at the reviews, it seems the guests have found the beds to be quite comfortable. Would you like to know more about them?"
2235,"Yes, customers have said the breakfast at the Leverton House was plentiful, varied, and home cooked."
2237,"The rooms at the Ashley Hotel provide a pretty decent value for money, though some would consider it to be definitely overpriced."
2242,The indoor decor at the Thanh Binh has been described as a little old and boring. Would you like me to find a place that has better decor?
2246,"Yes, some of the words used to describe the staff are kind, attentive, friendly, and accommodating. Would you like to book Arbury Lodge Guesthouse?"
2247,"Some past guests talk about the portions as being generous, but there are comments that the portions are on the small side."
2251,"To most visitors of the Alexander Bed and Breakfast, the rooms, while cheap, provide acceptable value for the price, although some may disagree."
2252,"Aside from a few guests that thought it overpriced, the majority of those that stayed at the Alexander Bed and Breakfast felt it was acceptable value."
2254,"While reviews are mixed, I'd say not all of the staff are seen as friendly. Would you like to try another location for your stay?"
2257,"According to reviews, the gonville hotel is known for having very big rooms. Would you like to make a reservation there?"
2259,"Patrons are often impressed by the cleanliness of the bathrooms at the Acorn Guest House, aside from a few minor mistakes."
2261,"The Pizza Hut Fen Ditton serves alcoholic drinks, unfortunately, I am not sure exactly what drinks they serve."
2264,"Those that have stayed at the Ashley Hotel believe that the establishment offers a decent value for money, aside from a few that feel its overpriced."
2266,The majority of reviews are quite complimentary on their service. There are also customers who felt the service was not very enthusiastic. Would you like to know more about them?
2268,The Aylesbray Lodge is in an area with some street noise and previous guests say it can get noisy. Would you like me to find another place?
2269,Past guests of Ali Baba say that there is outdoor dining there and that it has a really nice view from there.
2270,"The Lucky Star gets mixed reviews for their service. Some were impressed, and others thought that the waitstaff was too slow. Is there anything else that I can help you with today?"
2272,"Guets who stayed at The acorn guest House have said the beds were comfortable, but others have said that the beds were poor quality and gave them back aches."
2273,"Yes, the Warkworth House does provide its guests with free WIFI that's found to be efficient and adequate speed."
2275,"Yes, the Acorn Guest House offers continental breakfast as well as full English/Irish breakfast and other options."
2276,"Some patrons that dine at the Curry Garden restaurant, not for the food, but for the appealing atmosphere."
2277,"The Cityroomz hotel has amazing reviews mostly, that state that the hotel has clean bathrooms. Only one person complained and said theirs hadn't been cleaned."
2280,"The location of the Leverton House is convenient as its situated in a good spot within the city, although a few select guest would disagree."
2281,"According to the reviews I have on hand for that location, the opinions are mixed.  Half felt the staff was unprofessional and half thought they were welcoming and courteous."
2286,The Ask Restaurant has a beautiful atmosphere according to two previous customers. Do you want to make a reservation?
2288,"The University Arms Hotel has a lot of great points, although several guests found it very overpriced. What is your budget?"
2289,Another reviewer who ate at La Margherita has stated that it was very nicely located with great service.
2292,"Yes, they have a very nice area for dining outdoors. Is there anything else you'd like to know about Royal Standard?"
2293,The reviews on the value at the hotel were mixed. Some people thought it was a good deal. Other reviewers thought the hotel was a bad value.
2294,"One reviewer thought the location was safe and convenient, but another didn't like that the location required them to need a car. Would you like to book it?"
2295,Royal Spice is an Indian restaurant that offers various non-alcoholic drink options.  Would you like me to make you a reservation?
2296,There are mixed reviews about the size of the rooms at the bed and breakfast. Some say that the rooms were spacious and others say that they were too small.
2298,"People differ in their views of the vibe. Some feel it has a boring atmosphere, but others say it was terrific."
2301,Most of the comments about the Golden Wok state that they had super friendly service but there are a few that say their service was mediocre. Would you like to know anything else about the Golden Wok?
2302,"Yes, according to those that have previously dined at the Pizza Hut Cherry Hinton, they offer a nice outdoor seating area."
2304,Only half of the guests that previously stayed at the Avalon would state that the rooms provided a quiet atmosphere.
2305,The place is not in a very quite place but still people have good time here as there everything one will require at affordable price.
2309,The Acorn Guest House is great value for what you pay. Guests all say that it was worth it. Want to book a room?
2310,"Most reviews stated that the beds were very high-quality and comfortable, although a minority have said that they did not sleep well due to the beds."
2311,"Yes, those that have visited the Oak Bistro all agree that the interior decorations are lovely and enjoyable."
2314,"Yes, they serve alcohol at Graffiti. However, reviews have been mostly mediocre with some saying they were overpriced."
2317,Apparently the rooms at the Autumn House are very clean. Would you like me to book a reservation for you there?
2318,"According to reviews from past guests, the WiFi at Alexander Bed and Breakfast is fast and free to use."
2326,"Yes, it can be accurately stated from guest experience that the outdoor dining area at Riverside Brasserie is nice."
2327,Yes Curry Prince offers a wide variety of non-alcoholic options. Can I answer anything else for you about the restaurant?
2330,"At times the servers at the Pizza Hut Cherry Hinton can be a bit slow and inattentive, but the rest of time they're friendly and admirable."
2332,"No, the place is surrounded by a dirty street and there is no view of anything desirable according to customers."
2333,The Cambridge Belfry has free wifi available. Is there anything else I can help you with or would you like me to book it for you?
2337,"According to the reviews that I have on hand for that location, the opinions are mostly positive.  Only one quarter thought they were dirty, while three quarters found them hygienic and especially or extremely clean."
2338,"No, unfortunately the Sala Thong doesn't offer a great variety of non-alcoholic drink options on its menu."
2339,"According to patrons that have dining experience at the Pipasha Restaurant, the portions provided are generally generous."
2340,The vibe at the Cambridge Chop House is that of a family friendly restaurant. The interior may be noisy during peak hours.
2341,The only review I have on the value at Rosa's Bed and Breakfast states that you get great value for your money there!
2344,"Yes, De Luca Cucina and Bar has a variety of non-alcoholic options to satisfy the non-drinkers. Can I help you with anything else?"
2345,"Some people do feel that the portions are large, and refer to them as hefty. But there are some people who say they're pretty small."
2348,Most customers say that the location is a bit undesirable but one person said that the location was convenient.
2350,"Some customers suggest that the rooms are quiet, but there are some that have complained about the loud noise from other guest."
2354,"Although one previous guest appreciated the quietness, another did not enjoy their room due to the disruptive noises outside. Do you have any other questions?"
2356,The Alexander B&B gets some pretty stellar reviews from previous guests. They say the staff is friendly and a joy to interact with. Would you like to know more about them?
2357,"Yes, the Rajmahal restaurant serves vindaloo. Reviewers say that the food quality is very good. Is there anything else I can help you with?"
2359,"Yes, the breakfast options are varied and of high quality at University Arms. Can I answer anything else for you before making a reservation?"
2362,"Yes, one of the benefits to choosing to dine at Ali Baba restaurant is their great outdoor dining area."
2363,The Rajmahal has high ratings for their food including the biryani. Would you like to know more about them?
